docId,typeId
zone_sbt_drw_cjb,hüccet
zone_rgj_krw_cjb,summary_Croatian
zone_pd5_4fk_kjb,EMIN_zabt_temessük
zone_vgf_rfk_kjb,sumamry_Croatian
zone_a1q_rbx_1jb,ʿarz-ı_hāl
zone_fls_5bx_1jb,buyuruldu
zone_bj5_wbx_1jb,iʿlām
zone_xfg_1cx_1jb,buyuruldu
zone_imk_ccx_1jb,summary_Croatian
zone_t1l_y53_1jb,mürāsele
zone_zbt_z53_1jb,buyuruldu
zone_zbq_2yt_3jb,EMIN_zabt_tezkire
zone_ygc_3yt_3jb,summary_Croatian
zone_rck_ssm_3jb,zabt_tezkire
zone_ojd_wsm_3jb,summary_Croatian
zone_bt1_3nd_fjb,tapu_senedi
zone_pwd_jnd_fjb,tuğra
zone_pns_lnd_fjb,summary_Croatian
zone_a4h_4pw_2jb,EMIN
zone_nnh_qpw_2jb,summary_Croatian
zone_rgm_gsd_fjb,hüccet
zone_jf3_lsd_fjb,summary_Croatian
zone_bhh_4md_djb,EMIN
zone_sbh_smd_djb,summary_Croatian
zone_kbl_l2x_cjb,mürāsele
zone_qjz_n2x_cjb,summary_Croatian
zone_zxb_g4r_kkb,tapu_sened_sūret
zone_tqf_j4r_kkb,summary_Croatian
zone_ody_mck_1jb,fermān_hatt-ı_hümāyūn_sūret
zone_ddj_tck_1jb,summary_Croatian
zone_ldt_n22_bjb,Croatian
zone_mqw_5sl_kkb,sened
zone_eh3_ysl_kkb,summary_Croatian
zone_yfl_l5x_cjb,hüccet_sūret
zone_mzk_p5x_cjb,summary_Croatian
zone_gq4_js1_qkb,nāme
zone_kty_ns1_qkb,summary_Croatian
zone_xl1_q3b_qkb,makbūz
zone_qvx_25w_2jb,EMIN_tapu
zone_b3x_g5w_2jb,summary_Croatian
zone_ufg_g2f_z3b,EMIN
zone_dxr_5t3_1jb,EMIN
zone_aql_wt3_1jb,stamp
zone_z3b_xt3_1jb,summary_Croatian
zone_rsg_lrz_y3b,EMIN
zone_uls_nrz_y3b,summary_Croatian
zone_ydg_yyj_1jb,EMIN_sūret
zone_a5c_1zj_1jb,stamp_sūret
zone_fcy_1zj_1jb,summary_Croatian
zone_h1h_bdz_y3b,unknown
zone_tnj_2dz_y3b,summary_Croatian
zone_qyz_gfk_kjb,EMIN_temessük
zone_r4k_zck_kjb,EMIN_tapu_nāme
zone_lhw_bdk_kjb,summary_Croatian
zone_g4r_jqw_cjb,tapu_senedi
zone_ub4_h1w_cjb,ʿarz-ı_hāl
zone_tmg_k1w_cjb,buyuruldu
zone_gxx_l1w_cjb,iʿlām
zone_i2j_41w_cjb,buyuruldu
zone_cmm_xkq_cjb,ʿarz-ı_hāl_buyuruldu_sūret
zone_xfl_zkq_cjb,ʿarz-ı_hāl_sūret
zone_unb_dlq_cjb,buyuruldu_sūret
zone_ddr_s1q_cjb,hüccet
zone_b15_x1q_cjb,summary_Crotatian
zone_ngr_yry_1jb,hüccet_varaka
zone_nj3_hsy_1jb,summary_Croatian
zone_vjp_wnq_cjb,mürāsele
zone_mzg_znq_cjb,summary_Croatian
zone_xht_rbq_cjb,ʿarz-ı_hāl
zone_cjv_tbq_cjb,buyuruldu
zone_lsh_2pk_1jb,ʿarz-ı_hāl
zone_uzh_2pk_1jb,buyuruldu
zone_rzc_3pk_1jb,summary_Croatian
zone_abs_mck_kjb,EMIN_zabt_temessük
zone_dtl_pck_kjb,summary_Croatian
zone_x1f_zyw_1jb,hüccet
zone_qnz_2zw_1jb,buyuruldu
zone_lkk_k1x_1jb,summary_Croatian
zone_vfc_srm_3jb,zabt_temessük
zone_l5q_h51_qkb,unknown
zone_g3k_snd_djb,EMIN
zone_gd3_xpd_djb,summary_Croatian
zone_bvs_223_qkb,makbūz
zone_jk4_r1f_pkb,EMIN_sūret
zone_ey2_z1f_pkb,summary_Croatian
zone_thq_j3w_j3b,yafta
zone_yxl_h12_bjb,ʿilmühaber_tapu_senedi_sūret
zone_elz_ydf_bjb,hüccet
zone_bbz_gnd_djb,EMIN
zone_c11_1d3_qkb,makbūz
zone_qt2_kqw_2jb,EMIN_zabt_tezkire
zone_wj1_4qw_2jb,summary_Croatian
zone_gkq_mvt_3jb,izin
zone_hhc_fwt_3jb,summary_Croatian
zone_upd_1mf_z3b,hüccet
zone_tbt_2mf_z3b,summary_Croatian
zone_cm2_rj3_1jb,hüccet
zone_izf_vj3_1jb,summary_Croatian
zone_jh2_r2f_z3b,EMIN
zone_xbx_s2f_z3b,summary_Croatian
zone_kqh_bs3_1jb,EMIN
zone_zcd_ds3_1jb,stamp
zone_kqn_2s3_1jb,summary_Croatian
zone_bmx_gc3_j3b,tahvīl
zone_sxs_l1k_kjb,fetvā
zone_iy3_1bx_1jb,beyāz_üzerine_buyuruldu
zone_mpy_cbx_1jb,summary_Croatian
zone_ovq_2pw_cjb,tapu_senedi
zone_rhl_jmq_cjb,beyāz_üzerine_buyuruldu
zone_wbh_vgq_cjb,EMIN
zone_f4l_zgq_cjb,summary_Croatian
zone_ebb_mdx_1jb,tezkire_dīvānī
zone_jhv_4ww_cjb,ʿilmühaber_tapu_senedi
zone_u3j_vww_cjb,summary_Croatian
zone_fny_jsw_cjb,unknown
zone_icg_4sw_cjb,note
zone_wcd_psw_cjb,note
zone_nsq_fdf_z3b,EMIN
zone_xsv_3df_z3b,summary_Croatian
zone_qsq_jdf_z3b,unknown
zone_ggj_fpj_1jb,EMIN
zone_ik2_hpj_1jb,summary_Crotatian
zone_m4b_3pj_1jb,unknown
zone_b4x_3tz_y3b ,ʿilmühaber
zone_j2r_ltz_y3b ,summary_Croatian
zone_cw1_5tm_3jb,EMIN
zone_uj2_ytm_3jb,summary_Croatian
zone_bkv_zst_3jb,EMIN_zabt_temessük
zone_g4c_ftt_3jb,summary_Croatian
zone_bw1_xrw_2jb,EMIN_zabt_tezkire
zone_edj_1sw_2jb,summary_Croatian
zone_jp1_rld_djb,EMIN
zone_ftp_tld_djb,summary_Croatian
zone_zrh_5ty_1jb,ʿilmühaber_tapu_senedi
zone_i5l_h5y_1jb,summary_Croatian
zone_hky_z3f_pkb,EMIN_sūret
zone_mps_2jf_pkb,summary_Croatian
zone_v44_wmr_kkb,hüccet_sūret
zone_dwb_cnr_kkb,summary_Croatian
zone_jxq_lm2_bjb,hüccet
zone_zsl_sm2_bjb,summary_Croatian
zone_rjp_tm2_bjb,unknown
zone_vg2_k3r_kkb,ʿilmühaber_sūret
zone_dwg_r3r_kkb,summary_Croatian
zone_e4t_kgz_djb,beyāz_üzerine_buyuruldu
zone_rrp_ngz_djb,summary_Croatian
zone_xfn_rw1_qkb,hüccet
zone_xjk_cx1_qkb,summary_Croatian
zone_hym_rzf_z3b,unknown
zone_tlb_vzf_z3b,summary_Croatian
zone_y1d_3dk_kjb,EMIN_zabt_temessük
zone_d5r_ldk_kjb,sumamry_Croatian
zone_d2h_xhq_h3b,cizye_senedi
zone_tzd_fjk_1jb,ʿarz-ı_hāl_buyuruldu_sūret
zone_atp_5jk_1jb,ʿarz-ı_hāl_sūret
zone_oln_vjk_1jb,buyuruldu_sūret
zone_zc2_2lk_1jb,note
zone_rbq_clk_1jb,summary_Croatian
zone_pt3_f2k_kjb,EMIN_temessük
zone_ev4_32k_kjb,summary_Croatian
zone_bll_1ck_kjb,EMIN_varaka
zone_wg4_2ck_kjb,summary_Croatian
zone_rpr_fkq_cjb,iʿlām
zone_d23_3kq_cjb,summary_Croatian
zone_i3p_bgw_cjb,EMIN
zone_plt_dgw_cjb,summary_Croatian
zone_igv_z3q_cjb,takrīr
zone_ryj_2jq_cjb,unknown
zone_bxx_cjq_cjb,summary_Croatian
zone_lfd_qxw_1jb,takrīr_tercüme_sūret
zone_zxd_d2x_1jb,iʿlām_sūret
zone_ahc_n2x_1jb,summary_Croatian
zone_tyr_pdk_kjb,EMIN
zone_d5t_sdk_kjb,summary_Croatian
zone_pmm_42k_kjb,hüccet
zone_sjl_52k_kjb,summary_Croatian
zone_lht_dyz_djb,tezkire_dīvānī
zone_d2y_hyz_djb,summary_Croatian
zone_lcl_rtx_cjb,EMIN
zone_zm1_ttx_cjb,summary_Croatian
zone_gsl_my1_qkb,fetvā
zone_lt4_ny1_qkb,summary_Croatian
zone_pkd_qvx_cjb,hüccet
zone_ntq_vvx_cjb,summary_Croatian
zone_oq3_5f2_bjb,fermān_sūret
zone_ulj_4kr_kkb,ʿilmühaber
zone_ccs_rkr_kkb,summary_Croatian
zone_srh_mbk_1jb,beyāz_üzerine_buyuruldu
zone_mm1_pbk_1jb,summary_Croatian
zone_uky_w1h_skb,unkown
zone_jnh_nch_skb,hüccet
zone_ehr_m5g_skb,hüccet
zone_jky_yv1_qkb,ʿilmühaber
zone_yts_1kd_djb,EMIN
zone_bpf_ckd_djb,summary_Croatian
zone_nsd_dfz_djb,fermān_sūret
zone_qn4_gfz_djb,summary_Croatian
zone_azq_hfz_djb,summary_Serbian
zone_xxm_gxz_djb,tezkire_dīvānī
zone_b4d_kxz_djb,summary_Croatian
zone_bpt_3cq_h3b,‘öşr_bedeli_defteri
zone_uth_2rw_2jb,EMIN_zabt_tezkire
zone_qjm_grw_2jb,summary_Croatian
zone_ohn_htw_2jb,tapu_nāme
zone_fs5_ltw_2jb,summary_Croatian
zone_wdy_qpm_3jb,EMIN
zone_hcg_2qm_3jb,summary_Croatian
zone_hgd_pvm_3jb,tapu_nāme
zone_dvy_rvm_3jb,summary_Croatian
zone_ary_d5t_3jb,EMIN_zabt_temessük
zone_b1k_h5t_3jb,summary_Croatian
zone_ist_scf_z3b,ʿilmühaber
zone_ryq_5cf_z3b,summary_Croatian
zone_vnb_2qj_1jb,ʿilmühaber
zone_nh1_jsz_y3b,EMIN
zone_j3c_lsz_y3b,summery_Croatian
zone_pvb_ktj_1jb,EMIN
zone_mh1_mtj_1jb,stamp_sūret
zone_wvn_mtj_1jb,summary_Crotatian
zone_e1v_fxw_cjb,ʿilmühaber_tapu_senedi
zone_y4z_xxw_cjb,summary_Croatian
zone_vhn_mtw_cjb,ʿarz-ı_hāl
zone_ufk_rtw_cjb,buyuruldu
zone_k2d_ttw_cjb,summary_Croatian
zone_rjx_fyw_1jb,hüccet
zone_h4s_f2y_1jb,EMIN
zone_wkz_32y_1jb,summary_Craotian
zone_ykg_hcq_cjb,ʿarz-ı_hāl_buyuruldu_iʿlām_sūret
zone_ilt_jcq_cjb,ʿarz-ı_hāl_sūret
zone_zdj_lcq_cjb,buyuruldu_sūret
zone_v11_ncq_cjb,iʿlām_sūret
zone_r2q_4cq_cjb,buyuruldu_sūret
zone_gs5_rcq_cjb,summary_Croatian
zone_u3k_xxp_cjb,hüccet
zone_gzx_y2z_k3b,fetvā
zone_c5m_vnw_2jb,zabt_tezkire
zone_hm4_b4w_2jb,summary_Croatian
zone_fzn_k3v_2jb,unknown
zone_tkg_n3v_2jb,summary_Croatian
zone_vmf_km2_djb,mazbata
